Index,KAB_No,Type,C_per_T,Inductance,Py_Volts,Phase1,KVA1,Sy_Volts,Phase2,KVA2,Connections,Rating,Cooling,Th_Cl,KVA_average,Turns,V_per_T,HZ,No_of_Coils,Sections_per_coil,Turns_per_section,Sense_of_winding,Turns_per_layer,No_Of_Layers,Size_of_conductor,Insulation,No_Of_parall_conductors,Wt_of_cu_per_Al_conductor_in_Kg,Former,Coil_dia_inner,Coil_Dia_outer,Ht_of_section_axial,Depth_of_wtg_Radial,Inter_layer_insulation,Radial_spacing,Axial_spacing,Clearance_Bet_Sections,Yoke_clearance,Inter_connection_of_sections,Inter_connection_of_coils,Tappings,Connecting_wirers,Clearance_Bt_Ht_and_Lt,Clearance_in_window,Core,C_D,Ht,Grade,Percentage,Kg,Drg_No,Core_loss,Conductor_loss,Total_losses,Resistance,Ambiant,Windings,Oil,Ohms_at_C,Test_particulars,App_Py_E,App_Sy_E,Induced,Impulse,Specification,Clamp_No,Terminal_board_no,Assy_No,Date
183,KAB 2313,INVERTER,,,Py1:214/Py2:214}Bifilar,single,,110,single,,,Cont,AN,H,,42(Bifilar)/22,5.09,50,2 Py(Bifilar) 2Sy,"one, one","21(Bifilar), 11","L-R, L-R","10 1/2 (Bifilar), 11","2, one","12x4 Cu, 12x4 Cu","F/G covered,F/G covered","2 SS, 2 ab* 2SS,4 ab(Total 8 Coductors)","60, 85",DRG.No: 105 102 372-P18-2 Nos,"135x223, 195x283","175x263, 235(242)x323(335)","300(330), 312(330)","20, 20","6 Mil class 'H' insulation, -",-,-,-,"10, 10",-,"Series at Finish(Bifilar), Series at Finish",-,"Same Conductor, 50x8 Cu.busbar",10 thick F/G duct,18,120x180,260,350,41 CRGO,96,241,DPD 105 102 331 -P5,300 W,1450 W,,,50 DegreeC MAX,115 DegreeC MAX,,,,,,,,IS 11171,,,105 009 928 P2,08.07.2010
184,KAB 2312,INPUT,,,415,3 Ph  star-N,,233,3 Ph  Delta,100.6,Y d11,Cont,AN,H,,45/44,5.33,50,"3 Py, 3 Sy","one, one","45, 44","L-R, L-R","22 1/2, 22","2, 2","12x3 Cu, 12x3 Cu","F/G covered,F/G covered","2 ab, 2 ab","67, 84",DRG.No: 105 102 372-P17-3 Nos,"109x237, 161x289","141x269, 193(200)x321(330)","305(320), 295(320)","16, 16","6 Mil class 'H' insulation, 6 Mil class 'H' insulation",-,-,-,"10, 10",-,"Star at Finish, Delta",-,"Same Conductor, Same Conductor",10 thick F/G duct,20,100X200,220,340,41 CRGO,96,320,DPD 105 102 340-p18,400 W,1500 W,,,50 DegreeC MAX,115 DegreeC MAX,,,,,,,,IS 11171,,,105 009 920 P18,03.07.2010
185,KAB 2311,BY PASS(3Ph -1Ph ),,,"415±2.5%,±5%",3 Ph  Open Delta,,240,Rev.Open Delta,30,,Cont,AN ,F,,0-2-5-8-10-109/35,3.99,50,"2 Py, 2 Sy","one, one","109, 35","L-R, L-R","36 1/3, 35","3, one","7x3 Cu, 7x4 Cu","F/G covered,F/G covered","one, 2 ab","26, 29",DRG.No: 105 102 372-P25-2 Nos,"109x177, 155x223","135x203, 175(184)x243(255)","300(315), 285(315)","13, 10","6 Mil Nomex, -",-,-,-,"10, 10",-,"Open Delta, Series at start","at 2,5,8,10 turns,-","Same Conductor, Same Conductor",10 thick F/G duct,28,100x140,170,335,41 CRGO,96,204,DPD 105 102 340-P22,260 W,720 W,,,50 DegreeC MAX,90  DegreeC MAX,,,,,,,,IS 11171,,,105 009 900 P5,17.08.2010
186,KAB 2310,D.C FILTER,,2mH,133,single,,,,,,Cont,AN,F,,33,,300,one,one,33,L-R,9,4,10x4 Cu,F/G covered,one,5.7,"Std bobbin suitable for Type-8B,4""stack-F/G-1 no",82x107,126x151,110,22,6 Mil Nomex,-,-,-,-,-,-,-,Same conductor,-,10,"Type 8B,4"" stack",-,-,51 CRGO,96,27.5,Std,,,,,50 DegreeC MAX,90  DegreeC MAX,,,,,,,,IS 5553,"205 200 327,4 Nos","205 603 336,1 No",105 009 399 *,30.08.2010
187,KAB 2309,INVERTER,,,118,single,,240,single,30,,Cont,AN,F,,50/102,2.36,50,"2 Sy, 2 Py","one, one","51, 25","L-R, L-R","25 1/2, 12 1/2","2, 2","10x3 Cu, 10x3 Cu","F/G covered,F/G covered","2 ab, 2SS, 2ab(Total 4 conductors)","32, 52","DRG.No: 105 102 372-P23,P24-2 Nos each","109x137, 161x271","141x169, 193(200)x303(313)","295(315), 297(315)","16, 16","6 Mil Nomex, 6 Mil Nomex",-,-,-,"10, 10",-,"Series at Finish, Series at Finish",-,"Same conductor, 50x3 Cu.busbar",15 thick F/G duct b/w Sy wdg & Bobbin of Py; 10 thick F/G duct on other 3 sides),20,100x100,220,335,41 CRGO,96,141,ED 2157-P10,180 W,980 W,,,50 DegreeC MAX,90  DegreeC MAX,,,,,,,,IS 11171,,,105 009 887 P6,07.08.2010
188,KAB 2308,CHARGER,,,415,3 Ph  Delta,,Sy1:261/Sy2:261,3 Ph  Delta/3 Ph  star,56.78,,Cont,AN,F,,132/83/48,3.144,50,"3 Py, 3 Sy1,3 Sy 2","one, one, one","132,83,48","L-R, L-R, L-R","33, 41 1/2, 24","4,2,2","8x3 Cu, 6x3 Cu, 10x3 Cu","F/G covered,F/G covered,F/G covered","one, one, one","50,31,36",DRG.No: 105 102 372-P22-3 Nos,"109x147, 163x201, 200x238","143x181, 180x218, 217(225)x255(265)","305(320), 298(320), 275(320)","17, 8.5, 8.5","6 Mil Nomex, 6 Mil Nomex,6 Mil Nomex",-,-,,"10,10,10",-,"Delta, Delta, Star at Fi nish",-,"Same conductor, Same conductor, Same conductor",10 thick F/G duct between all windings,20,100x110,245,340,41 CRGO,96,186,DPD 105 102 340-P21,2410 W,1300 W,,,50 DegreeC MAX,90  DegreeC MAX,,,,,,,,IS 11171,,,105 009 920 P20,04.08.2010
189,KAB 2307,D.C FILTER,,2mH,120,single,,,,,,Cont,AN,F,,36,,300,one,one,36,L-R,11,4,8x4 Cu,F/G covered,one,4.5,"Std bobbin suitable for Type-8,4""stack-F/G-1 no",56x106,100x150,110,22,6 Mil Nomex,-,-,-,-,-,-,-,Same conductor,,9,"Type 8,4"" stack",-,-,51 CRGO,96,16,Std,,,,,50 DegreeC MAX,90  DegreeC MAX,,,,,,,,IS 5553,"205 200 326,4 Nos","205 603 337, 1 No",DGA 105 009 402 ,15.06.2010
190,KAB 2306,INPUT,,,415,3 Ph  Delta,,242,3 Ph  star,18.86,DY 11,Cont,AN,F,,2.128,50,195/66,"3 Py, 3 Sy","one, one","195, 66","L-R, L-R","65, 33","3, 2","11 SWG Cu, 7x3 Cu","SE, F/G covered","one, one","18.5, 25",Drg.No:105 102 372-P16-3 Nos,"109x112, 156x159","135x138, 174(177)x177(180)","215(280), 265(280)","13, 9","6 Mil Nomex, 6 Mil Nomex,6 Mil Nomex",-,-,-,"10, 10",-,"Delta, Star at Finish",-,"Same conductor, Same conductor",10 thick F/G duct,18,100x75,195,300,41 CRGO,96,108,DPD 105 102 287-P18,140 W,550 W,,,50 DegreeC MAX,90  DegreeC MAX,,,,,,,,IS 11171,,,105 009 930 P6,12.06.2010
191,KAB 2305/A,SERIES,,0.155mH,,single,,,,,,Cont,AN,H,,25,,25,one,one,25,L-R,9,3,10x4 Cu,F/G covered,one,4,"Std bobbin suitable for Type 8,4""stack-F/G-1 No",56x107,88X139,110,16,6 Mil class-'H' insulation,-,-,-,-,-,-,-,Same conductor,-,10,"Type-8,4"" stack",-,-,51 CRGO,96,16,Std,,,,,50 DegreeC MAX,90  DegreeC MAX,,,,,,,,IS 5553,"205 200 326,4 Nos",,105 009 402 *,27.05.2011
192,KAB 2305,SERIES,,0.155mH,,single,,,,,,Cont,AN,H,,10,,25,one,one,10,L-R,3 1/2,3,10x4 Cu,F/G covered,2 SS,3.1,"Std bobbin suitable for Type-8,4""stack-F/G-1 no",56x107,88x139,110,16,6 Mil class-'H' insulation,-,-,-,-,-,-,-,Same conductor,-,10,"Type 8,4"" stack",-,-,51 CRGO,96,16,Std,,,,,50 DegreeC MAX,115 DegreeC MAX,,,,,,,,IS 5553,"205 200 326,4 Nos",,105 009 402 *,07.05.2010
193,KAB 2304,INVERTER,,,152,single,,350,single,24.5,,Cont,AN,H,,72/166,2.11,25,"2 Py, 2 Sy","one, one","36,83","L-R, L-R","36, 41 1/2","1, 2","10x4 Cu, 8x4 Cu","F/G covered,F/G covered","2 ab, one","33, 38",Drg.No:105 102 372-P15-2 Nos,"109x187, 149x227","129x207, 171(180)x249(260)","405(420), 375(420)","10, 11"," -, 6 Mil class'H' insulation",-,-,-,"10, 10",-,"Series at Finish, Series at Finish",-,"Same conductor, Same conductor",10 thick F/G duct,20,100X150,200,440,41 CRGO,96,169,DPD 105 102 331-P4,220 W,920 W,,,50 DegreeC MAX,115 DegreeC MAX,,,,,,,,IS 11171,,,105 009 934 P1,10.05.2010
194,KAB 2302,D.C FILTER,,2mH,,single,,,,,,Cont,AN,H,,37,,300,one,one,37,L-R,7,6,12x4 Cu,F/G covered,one,6.8,"Std bobbin suitable for Type-8,4""stack-F/G-1 no",56X107,104X155,110,24,6 Mil class -'H' insulation,-,-,-,-,-,-,-,Same conductor,-,7,"Type 8,4"" stack",-,-,51 CRGO,96,16,Std,,,,,50 DegreeC MAX,115 DegreeC MAX,,,,,,,,IS 5553,"205 200 326,4 Nos",,105 009 402 *,06.05.2010
195,KAB2301,RECTIFIER,,,415,3 Ph  Delta,,215,3 Ph  star,30.4,Dy 11,Cont,AN,H,,130/39,3.19,50,"3 Py, 3 Sy","one, one","130, 39","L-R, L-R","65, 39","2, one","4x3 Cu, 7x3 Cu","F/G covered,F/G covered","one, 2ab","24, 31",DRG.No: 105 102 372-P10-3 Nos,"109x157, 145x193","125x173,160(162)x208(212)","315(325), 310(325)","8, 7.5","6 Mil class 'H' insulation,-",-,-,-,"5,5",-,"Delta, Star at Finish",-,"Same conductor, Same conductor",10 thick F/G duct,18,100x120,180,335,51 CRGO,96,176,DPD 105 102 287-P17,220 W,620 W,,,50 DegreeC MAX,115 DegreeC MAX,,,,,,,,IS 11171,,,DGA 105 009 930 P5,19.03.2010
196,KAB 2303,SERIES,,0.053mH,,single,,,,,,Cont,AN,H,,9,,25,one,one,9,L-R,3,3,6x3 Cu,F/G covered,2 SS,0.75,"Std bobbin suitable for yYpe16, Sq.stack-F/G-1 No",44x44,68x69,52,12,6 Mil class-'H' insulation,-,-,-,-,-,-,-,Same conductor,-,1,Type 16 Sq.stack,-,-,51 CRGO,96,2.45,Std,,,,,50 DegreeC MAX,115 DegreeC MAX,,,,,,,,IS 5553,"205 200 337,4 Nos",,105 009 385,
