Index,KAB_No,Type,C_per_T,Inductance,Py_Volts,Phase1,KVA1,Sy_Volts,Phase2,KVA2,Connections,Rating,Cooling,Th_Cl,KVA_average,Turns,V_per_T,HZ,No_of_Coils,Sections_per_coil,Turns_per_section,Sense_of_winding,Turns_per_layer,No_Of_Layers,Size_of_conductor,Insulation,No_Of_parall_conductors,Wt_of_cu_per_Al_conductor_in_Kg,Former,Coil_dia_inner,Coil_Dia_outer,Ht_of_section_axial,Depth_of_wtg_Radial,Inter_layer_insulation,Radial_spacing,Axial_spacing,Clearance_Bet_Sections,Yoke_clearance,Inter_connection_of_sections,Inter_connection_of_coils,Tappings,Connecting_wirers,Clearance_Bt_Ht_and_Lt,Clearance_in_window,Core,C_D,Ht,Grade,Percentage,Kg,Drg_No,Core_loss,Conductor_loss,Total_losses,Resistance,Ambiant,Windings,Oil,Ohms_at_C,Test_particulars,App_Py_E,App_Sy_E,Induced,Impulse,Specification,Clamp_No,Terminal_board_no,Assy_No,Date
344,KAB 1982,LOAD FILTER,,0.5mH,,single,,,,,,Cont,AN,H,,12+12=24,,600,2,one,12,L-R,one,12,0.2x305+0.3x305 Cu.foil,"Bare, Electrolytic,Annealed-IS 3052 &IS 1897",(2 ab + one)ab,14.5+11,Drg No 105 102 261-P3-2 Nos,109x137,135(138)x163(180),325,13,6 mil class-H insulation,-,-,-,5,-,Series at Finish,-,200mm² Cu.cable,-,17,100x100,155,335,41 CRGO,96,90,ED2 159 -P6,,,,,50 DegreeC MAX,90 DegreeC MAX,,,,3,,,,IS 5553,,,105 009 905 P2,21.04.2003
345,KAB 1981,D.C.FILTER,,0.5mH,210,single,,,,,,Cont,AN,H,,17+17=34,,300,2,one,17,L-R,one,17,0.2x305 Cu.foil,"Bare, Electrolytic,Annealed-IS 3052 &IS 1897",2 ab,19,Drg No 105 102 261-P4-2 Nos,109x117,133(135)x141(155),325,12,6 mil class-H insulation,-,-,-,7,-,Series at Finish,-,120mm² Cu.cable,-,15,100x80,150,340,41 CRGO,96,72,ED2 2068-P9,,,,,50 DegreeC MAX,90 DegreeC MAX,,,,3,,,,IS 5553,,,105 009 905 P3,19.04.2003
346,KAB 1979,LOADING,,3mH,371-415,3 Ph  Star,180,,,,,Cont,AN,B,,Jun-56,,50,3,one,56,L-R,one,56,(0.5+0.2)x305 Al.foil,"Bare, Electrolytic,Annealed-IS 737",(1+1)ab,"0.5x305?63 kg,0.2x305?25 kg",ED 2119-P14-3 Nos,115x223,231(235)x339(365),325,58,3 mil poly.film-10 thick F/G duct between 28 & 29 turns,-,-,-,5,-,Star at Finish,at 6,120mm² Cu.cable,-,20,100x180,255,339,CRNO M-43,96,296,105 102 258-P1,,,,,50 DegreeC MAX,70 DegreeC MAX,,,,3,,,,IS 5553,,,DGA 105 009 905 P2,28.10.2002
347,KAB 1978,LOADING,,6mH,371-415,3 Ph  Star,90,,,,,Cont,AN,B,,Oct-93,,50,3,one,93,L-R,one,93,0.2x305 al.foil,"Bare, Electrolytic,Annealed-IS 737",2 ab,69,ED 1777-P19-3 Nos,109x147,225(230)x263(295),325,58,3 mil poly.film-10 thick F/G duct between 46 & 47 turns,-,-,-,5,-,Star at Finish,at 10,70mm² cu.cable,-,25,100x110,255,335,CRNO M-43,96,181,105 102 258-P2,,,,,50 DegreeC MAX,70 DegreeC MAX,,,,3,,,,IS 5553,,,105 009 904 P1,31.10.2002
348,KAB 1977,D.C.FILTER,,1mH,70,single,,,,,,Cont,AN,F,,14+14=28,,300,2,one,14,L-R,14,one,10x3 Cu,F/G covered,3ab,12,ED 1777-P23-2 nos,115x113,139(148)x137(147),168(190),12,-,-,-,-,10,-,Series at Finish,-,Same conductor,-,22,100x70,170,210,41 CRGO,96,52.5,DPD 105 102 201-P16,,,,,50 DegreeC MAX,90 DegreeC MAX,,,,3,,,,IS 5553,,,GA 105 009 849 P6,03.12.2002
349,KAB 1976,ISOLATION,,,415,single,,415,single,1.25,,Cont,AN,B,,386/3.86,1.07,50,"1 Py, 1 Sy","one, one","386, 386","L-R, L-R","59, 59","7,7","16 SWG Cu, 16 SWG Cu","SE,SE","one, one","2.5, 2.8","Standard bobbin suitable for Type-8,3""stack","58x84, 90x116","88x114, 120(122)x146(148)","110, 110","15, 15","6 mil poly.film,6 mil poly.film",-,-,-,-,-,-,-,Same conductor with suitable Tag,20 mil silicone varnished F/G +6 mil poly film-between Py & sheild and shield& Sy,1,"Type 8, 3"" stack",-,-,51 CRGO,96,12,Std,17 W,50 W,,,50 DegreeC MAX,70 DegreeC MAX,,,,,,,,IS 3156,205 008 622-4 Nos,205 603 337-2 Nos,105 009 403,07.10.2002
350,KAB 1975,CHARGER,,,415,3 Ph  Delta,,245,3 Ph  Star,52,DY 11,Cont,AN,F,,76/26,5.46,50,"3 Py, 3 SY","one, one","76, 26","L-R, L-R","25 1/3, 26","3, 1","10x3 Cu, 10x3 Cu","F/G covered, F/G covered","one, 2 ab","47, 40",Ed 1777-P22-3 Nos,"115x233, 165x283","145x263, 181(190)x299(310)","295(325), 300(325)","15, 8","6 mil class 'F' insulation, 6 mil class -,F, insulation",,-,-,"5, 5",-,"Delta, Star at Finish",-,"Same conductor, Same conductor",10 thick f/G duct,20,100x190,210,335,41 CRGO,96,297,DPD 105 102 223-P23,380 W,860 W,,,50 DegreeC MAX,90 DegreeC MAX,,,,3,3,,,IS 11171,,,DGA 105 009 896 P9,29.11.2002
351,KAB 1974,CONTROL,,,230,single,,18-0/81/162,single,0.023,,Cont,AN,B,,1020/81-162,0.225,50,"1 Py, 1 Sy","one, one","1020, 162","L-R, L-R","104, 41","10, 4","32 SWG Cu, 23 SWG Cu","S.E, S.E","one, one","0.07, 0.09","std bobbin suitable for Type 15, 1 1/2' stack","29x43, 38x52","37x51, 46(47)x60(61)","33, 33","4, 4","3 mil poly.film, 3 mil poly.film",-,-,-,-,-,-," -, at 81","7/0.2 pvc Cu.wire, Same conductor",12 mil polyester film,1,"Type 15, 1 1/2"" stack",-,-,51 CRGO,96,1.2,Std,1.5 W,3 W,,,50 DegreeC MAX,70 DegreeC MAX,,,,,,,,IS 3156,205 200 336-4 Nos,,105 009 380,
352,KAB 1973,IGBT Gate Drive,,,48,single,,20,single,3,,Cont,AN,A,,96/40,0.5,10KHZ,"1 Py, 1 Sy","one, one","96, 40","L-R, L-R","35, 35","3, 2","30 SWG Cu, 30 SWG Cu","S.E, S.E","one, one","10gm, 5gm",Std bobbin suitable for EE-25 Ferrite core(with pins),,"13x13, 15.5x15.5","14, 14","1.5, 1","P 256 Yellow tape (2 layers) ,  P256 yellow tape (2 layers)",-,-,-,-,-,-,-,"Same conductor, Same conductor",6 mil class 'F' insulation-1 layer,0.5,EE 25 Ferrite core,-,-,HP 3C,-,-,-,,,,,50 DegreeC MAX,,,,,,,,,,,,,29.10.2002
353,KAB 1973,IGBT Gate Drive,,,48,single,,20,single,3,,Cont,AN,A,,96/40,0.5,10KHZ,"1 Py, 1 Sy","one, one","96, 40","L-R, L-R","35, 35","3, 2","30 SWG Cu, 30 SWG Cu","S.E, S.E","one, one","10gm, 5gm",Std bobbin suitable for EE-25 Ferrite core(with pins),"10x10, 13.5, 13.5","13x13, 15.5x15.5","14, 14","1.5, 1","P 256 Yellow tape (2 layers) ,  P256 yellow tape (2 layers)",-,-,-,-,-,-,-,"Same conductor, Same conductor",6 mil class 'F' insulation-1 layer,0.5,EE 25 Ferrite core,-,-,HP 3C,-,-,-,,,,,50 DegreeC MAX,,,,,,,,,,,,,29.10.2002
354,KAB 1972,D.C.FILTER,,2mH,16,single,,,,,,Cont,AN,B,,45,,100,one,one,45,L-R,14,4,6x4 Cu,F/G covered,one,3.2,"Std bobbin suitable for Type 8, SQ.stack",57x57,101x101,110,22,6 mil polyester film,-,-,-,-,-,-,-,Same conductor,-,10,"Type 8, SQ.stack",-,-,51 CRGO,96,8,Std,,,,,50 DegreeC MAX,70 DegreeC MAX,,,,,,,,IS 5553,205 200 326-4 Nos,205 603 337-2 Nos,105 009 400,10.12.2002
355,KAB 1971,CHARGER,,,230,single,,21,single,0.987,,Cont,AN,B,,280/26,0.82,50,"one Py, one Sy","one, one","280, 26","L-R, L-R","50, 14","6, 2","15 SWG Cu, 6x4 Cu","S.E , F/G covered","one, one","2.25, 2.4","Standard bobbin suitable for Type-8,2 1/2""stack","57x70, 88x101","87x100, 110(111)x123(124)","110, 110","15, 11","6 mil poly. Film, 6 mil poly.film",-,-,-,-,,-,-,"Same conductor, Same conductor",12 mil class 'F' insulation,7,"Type 8, 2 1/2 stack",-,-,51 CRGO,96,10,Std,15 W,50 w,,,50 DegreeC MAX,70 DegreeC MAX,,,,,,,,IS 3156,205 200 326-4 Nos,205 603 337-2 Nos,105 009 401,07.12.2002
356,KAB 1970,D.C.FILTER,,2mH,16,single,,,,,,Cont,AN,B,,36,,100,one,one,36,L-R,12,3,7x3 Cu,F/G covered,one,2 Kg,"Standard bobbin suitable for Type-8,SQ""stack",57x57,85x85,110,14,6 mil polyester film,-,-,-,-,-,-,-,Same conductor,-,15,"Type 8, SQ.stack",-,-,51 CRGO,96,8,Std,,,,,50 DegreeC MAX,70 DegreeC MAX,,,,3,,,,IS 5553,205 200 326-4 Nos,205 603 337-1 No,105 009 400,04.12.2002
357,KAB 1969,CHARGER,,,230,single,,21,single,0.65,,Cont,AN,B,,370/34,0.62,50,"one Py, one SY","one, one","370, 34","L-R, L-R","63, 14","6, 3","17 SWG Cu, 10 SWG Cu","SE, SE","one, 2 Ss","1.75, 2","Standard bobbin suitable for Type-8,SQ""stack","57x57, 82x82","81x81, 106(107)x106(107)","110, 110","12, 12","6 mil poly. Film, 6 mil poly.film",-,-,-,-,-,-,-,"Same conductor, Same conductor",12 mil class 'F' insulation,8,"Type 8, SQ stack",-,-,51 CRGO,96,8,Std,12 W,38 W,,,50 DegreeC MAX,70 DegreeC MAX,,,,,,,,IS 3156,205 200 326-4 Nos,205 603 337-2 Nos,105 009 400,23.11.2002
358,KAB 1968,THIRD HARMONIC,,1.35mH,30,single,,,,,,Cont,AN,B,,32,,150,one,one,32,L-R,9,4,10x4 Cu.strip,F/G covered,one,4.4,"Standard bobbin suitable for Type-8,3""stack",58x84,102(103)x128(129),110,22,6 mil polyester film,-,-,-,-,-,-,-,Same conductor with suitable Tag,-,9,"Type 8, 3"" stack",-,-,51 CRGO,96,12,Std,,,,,50 DegreeC MAX,70 DegreeC MAX,,,,3,,,,IS 5553,205 008 622-4 Nos,205 603 337-1 No,105 009 403,21.11.2002
359,KAB 1967,SHUNT,,8mH,380,single,,,,,,Cont,AN,B,,52+52=104,,50,2,one,52,L-R,26,2,10x4 Cu. Strip,F/G covered,2 ab,55,ED 2119-P11-2 Nos,115x193,175(185)x253(263),300(325),30,10 thick F/G duct,-,-,-,7.5,-,Series at Finish,-,Same conductor,-,20,100x150,205,340,41 CRGO,96,145,ED 2068-P8,,,,,50 DegreeC MAX,70 DegreeC MAX,,,,3,,,,IS 5553,,,GA 105 009 874 P9,18.11.2002
360,KAB 1966,Integrated 3Ph  -1Ph ,,,415,3 Ph  open Delta,,230-380,Reverse open Delta,72.86,,Cont,AN,B,,87/28-46,4.77,50,"2 Sy,2Py","one,one","46,87","L-R,L-R","one,one","46,87","0.5x305 Al.foil, 0.2x305 Al.foil","Bare,Electrolytic, Annealed-IS 737","2ab upto 28 turns,the none 2ab","53,83","(1)ED 2119-P14-2Nos,(2)ED 2119-P25-2Nos ","115x223,218x415","215x323,310(316)x507(550)","325, 325","50, 46","3 mil poly.film-6 thick F/G ,3 mil polyester film","duct between 28 & 29 turns, -",-,-,"5, 5",-,"Series at start, Open Delta","at 28, -","150 mm² Cu.cable, 50mm² Cu.cable",18 mil class 'F' insulation-6 thick F/G duct on narrow end only,22,100x180,230,335,41 CRGO,96,354,ED 2131-P4,460 W,1700 W,,,50 DegreeC MAX,70 DegreeC MAX,,,,3,3,,,IS 11171,,,DGA 105 009 877 P3,13.11.2002
361,KAB 1965,INVERTER,,,189,single,,230-380,single,41.4,,Cont,AN,B,,54/66-108,3.5,50,"2 Sy, 2 Py","one, one","54, 27","L-R,L-R","one, one","54, 27","0.5x305 Al.foil upto 33 turns then 0.2x305, (0.5+0.2)x305 Al.foil","Bare,Electrolytic, Annealed","one,    one (1+1) ab","0.5x305?43 kg,0.2x305?15.5 kg","(1) ED 1777-P20-2 Nos, (2) ED 1777 -P21-2 Nos","109x177, 179x338","177x245, 223(227)x382(415)","325, 325","34, 22","3 mil poly.film-6 thick, 3 mil poly.film","F/G duct between33& 34 turns, -",-,-,"5, 5",-,"Series at Start, Series at start","at 33, -","70 mm² Cu. Cable,95 mm² Cu. Cable",18 mil class 'F' insulation,18,100x140,245,335,41 CRGO,96,202,ED 2157-P4,260 W,720 W,,,50 DegreeC MAX,70 DegreeC MAX,,,,3,3,,,IS 11171,,,DGA 105 009 902 P3,08.11.2002
362,KAB 1964,D.C.FILTER,,1mH,140,single,,,,,,Cont,AN,B,,18+18=36,,300,2,one,18,L-R,one,18,0.5x305 Al.foil,"Bare,Electrolytic, Annealed-IS 737",one,7,ED 1590-P29-2 Nos-F/G,"79x127, 99x147",103(107)x151(170),325,12,3 mil polyester film,-,-,-,5,-,Series at start,-,70 mm² Cu. Cable,-,23,70x90,130,335,41 CRGO,96,51.5,ED 2159 P5,,,,,50 DegreeC MAX,70 DegreeC MAX,,,,,,,,IS 5553,,,DGA 105 009 905 P1,02.11.2002
363,KAB 1963,INPUT,,,415,3 Ph  Delta,,373,3 Ph  Star,70,DY 11,Cont,AN,B,,79/41,5.25,50,"3 Py, 3 Sy","one, one","79,41","L-R,L-R","one, one","79, 41","0.2x305 Al.foil, 0.2x305 Al.foil","Bare,Electrolytic, Annealed-IS 737","one, 2 ab","31, 43",ED 2119-P14-3 Nos,"115x223, 186x294","165x273, 230(325)x338(370)","325, 325","25, 22","3 mil polyester film,3 mil polyester film",-,-,-,"5, 5",-,"Delta, Star at Finish",-,"50 mm² Cu. Cable,70 mm² Cu. Cable",10 thick F/G duct,20,100x180,255,335,41 CRGO,96,304,105 102 223-P22,400 W,950 W,,,50 DegreeC MAX,70 DegreeC MAX,,,,3,3,,,IS 11171,(Ref.GA),NA,GA 105 009 896 P8,25.10.2002
364,KAB 1962,INVERTER,,,189,single,,230-380,single,31.2,,Cont,AN,B,,64/78-128,2.95,50,"2 Sy, 2 Py","one, one","64, 32","L-R,L-R","one, one","64, 32","0.5x305 Al.foil upto 39 turns then 0.2x305Al, 0.5x305 Al.foil","Bare,Electrolytic, Annealed","one, one, one","20, 6.5, 28",ED 1777-P17-P18-2 Nos each,"109x152, 178x310","177x220, 220(225)x352(390)","325, 325","34, 21","3 mil polyester film,3 mil polyester film",-,-,-,"5, 5",-,"Series at Start, Series at start","at 39, -","70 mm² Cu. Cable,70 mm² Cu. Cable",18 mil class-'F' insulation-6 thick F/g duct on narrow end only,20,100x115,245,335,41 CRGO,96,166,ED 2157-P3,220 W,700 W,,,50 DegreeC MAX,70 DegreeC MAX,,,,3,3,,,IS 11171,,,GA 105 009 902 P2,03.10.2002
365,KAB 1961,D.C.FILTER,,1.25mH,140,single,,,,,,Cont,AN,B,,27+27=54,,300,2,one,27,L-R,one,27,0.2x152 Al.foil,"Bare,Electrolytic, Annealed-IS 737",4 ab,8,"ID 52x110, OD 58x116-172 long F/G 2 Nos",59x117,1191150x169(185),172,26,3 mil polyester film,-,-,-,9,-,Series at Finish,-,50 mm² Cu. Cable,-,20,50x80,135,185,41 CRGO,96,23,105 102 201-P15,,,,,50 DegreeC MAX,70 DegreeC MAX,,,,3,,,,IS 5553,,,105 009 890 P10,25.09.2002
366,KAB 1960,MAIN,,,415,3 Ph  Delta,,373,3 Ph  Star,50,,Cont,AN,B,,94/49,4.41,50,"3 Py, 3 Sy","one, one","94, 49","L-R, L-R","one, one","94, 49","0.2x305 Al.foil, 0.2x305 Al.foil","Bare,Electrolytic, Annealed-IS 737","one, 2 ab","35.5, 48.5",ED 2119-P11-3 Nos,"115x193, 180x258","179x257, 234(240)x312(350)","325, 325","32, 27","3 mil polyester film,3 mil polyester film",-,-,-,"7, 7",-,"Delta,Star",,"35 mm² Cu.cable, 50 mm² Cu. Cable",18 mil class 'F' insulation,20,100x150,260,340,41 CRGO,96,257,ED 2066-P11,350 W,1150 W,,,50 DegreeC MAX,70 DegreeC MAX,,,,3,3,,,IS 11171,(Ref.GA),NA,GA 105 009 884 P5,23.09.2002
367,KAB 1959,D.C.FILTER,,0.6mH,233,single,,,,,,Cont,AF,H,,17+17=34,,300,2,one,17,L-R,one,17,0.5x305 Cu.foil,"Bare,Electrolytic, Annealed-IS 3052 & IS 1897",one,26,ED 1590-P49-2 Nos,"109x142, 173x206",137(142)x170(190),325,14,6 mil thick class 'H' insulation,-,-,-,8,-,Series at Finish,-,150 mm² Cu.cable,-,23,100x105,165,342,41 CRGO,96,95,ED 2068 P5,,,,,50 DegreeC MAX,70 DegreeC MAX,,,,3,,,,IS 5553,,,GA 105 009 874 P6,11.09.2002
368,KAB 1958,CHARGER,,,415,3 Ph  Delta,,419,3 Ph  Star,178,DY 11,Cont,AF,H,,65/38,6.38,50,"3 Py, 3 Sy","one, one","65, 38","L-R, L-R","one, one","65, 38","0.3x305 Cu.foil, 0.2x305 Cu.foil","Bare,Electrolytic, Annealed-IS 3052 & IS 1897","one, 2 ab","150, 162",ED 2119-P22-3 Nos,"115x263, 220x368","207x355, 286(295)x434(470)","325, 325","46, 33","6 mil class 'H' insulation, 6 mil class 'H' insulation","6 thick F/G duct b/w, 6 thick F/G duct b/w","32 &33 turns, 18 & 19 turns",-,"5, 5",-,"Delta ,Star at Finish",-,"50 mm² Cu. Cable,150 mm² Cu. Cable",6 thick F/G duct+12 mil class H insulation,25,100x220,320,335,41 CRGO,96,415,105 102 223-P21,540 W,3200 W,,,50 DegreeC MAX,90 DegreeC MAX,,,,3,3,,,IS 11171,,,GA 105 009 875 P2,12.09.2002
369,KAB 1957,INVERTER,,,250x2 (Bifilar),3 Ph  sep.Leads,240,140,3 Ph  sep.Leads,,,Cont,AF,H,,43x2 (Bifilar)/24,5.81,50,"3 Sy, 3 Py-Bifilar","one, one each","24, 43- Bifilar","L-R, L-R","one, one-Bifilar","24, 43 Bifilar","0.6x305 Cu.foil, 0.3x305 Cu.foil","Bare,Electrolytic, Annealed-IS 3052 & IS 1897","2 ab, one each-Bifilar","228, 334","ED 2119-P23-3 Nos, P24-3 Nos-F/G","115x268, 219x470","217x370, 323(335)x574(660)","325, 325","51, 52","6 mil class 'H' insulation,6 mil class 'H' insulation","10 thick F/G duct between, 6 thick F/G duct between","12 &13 turns, 22&23 Turns",-,"5, 5",-,"Seprate leads, Seprates leads",-,-,"18 mil class 'H' insulation, 10 thick F/G duct on narrow end",25,100x225,360,335,41 CRGO,96,584,105 102 257-P1,750 W,5600 W,,,50 DegreeC MAX,90 DegreeC MAX,,,,3,3,,,IS 11171,,,GA 105 009 903 P1,13.09.2002
370,KAB 1956,D.C.FILTER,,0.28mH,196,single,,,,,,Cont,AF,H,,11+11=22,,300,2,one,11,L-R,one,11,0.6x305 Cu.foil,"Bare,Electrolytic, Annealed-IS 3052 & IS 1897",2 ab,46,ED 1590 -P47-2 Nos,109x162,155(160)x208(240),325,23,6 mil class 'H' insulation,-,-,-,9,-,Series at Finish,-,400mm² Cu.cable,-,20,100x125,180,343,41 CRGO,96,116,ED  2068-P2,,,,,50 DegreeC MAX,90 DegreeC MAX,,,,3,,,,IS 5553,,,GA 105 009 874 P8,16.09.2002
371,KAB 1955,CHARGER,,,415,3 Ph  Delta,,373,3 Ph  Delta,401,,Cont,AF ,H,,47/42,8.83,50,"3 Py, 3 Sy","one, one","47,42","L-R, L-R","one, one","47, 42","0.6x305 Cu.foil, 0.6x305 Cu.foil","Bare,Electrolytic, Annealed-IS 3052 & IS 1897","one, one","248, 322",ED 1777-P16-3 Nos,"135x298, 262x425","241x404, 362(375)x525(575)","325, 325","53, 50","6 mil class 'H' insulation,6 mil class 'H' insulation","10 thick F/G duct between, 10 thick F/G duct between","23 &24 turns, 20 &21 turns",-,"5, 5",-,"Delta, Delta",-,"190mm² Cu.cable,190mm² Cu.cable",6 mil class 'H' insulation+10 thick F/G duct,25,120x255,400,335,41 CRGO,96,660,105 102 223-P19,860 W,5700 W,,,50 DegreeC MAX,90 DegreeC MAX,,,,3,3,,,IS 11171,,,GA 105 009 873-P2,18.09.2002
372,KAB 1954,CHARGER,,,415,3 Ph  Delta,,373,3 Ph  Star,401,DY 11,Cont,AF,H,,46/24,9.02,50,"3 Py, 3 Sy","one, one","46, 24","L-R, L-R","one, one","46, 24","0.6x305 Cu.foil, 0.6x305 Cu.foil","Bare,Electrolytic, Annealed-IS 3052 & IS 1897","one, 2 ab","243, 367",Ed 1777-P16-3 Nos,"135x298, 262x425","241x404, 356(370)x519(570)","325, 325","53, 47","6 mil class 'H' insulation,6 mil class 'H' insulation","10 thick F/G duct between, 10 thick F/G duct between","23 &24 turns, 12 &13 turns",-,"5, 5",-,"Delta, Star",-,"190mm² Cu.cable,350mm² Cu.cable",6 mil class 'H' insulation+10 thick F/G duct,30,120x255,400,335,41 CRGO,96,660,105 102 223 -P19,860 W,6050 W,,,50 DegreeC MAX,90 DegreeC MAX,,,,3,3,,,IS 11171,,,GA 105 009 873-P2,20.09.2002
373,KAB 1953,R.F.I,,15?H,,single,,,,,,Cont,AN,H,,19,,50,one,one,19,L-R,19,one,11 SWG Cu,SE,one,0.3,-,60,67,70,4,-,-,-,-,-,-,-,-,Same conductor with suitable Tag,-,-,AIR,-,-,-,-,-,-,-,-,,,50 DegreeC MAX,90 DegreeC MAX,,,,,,,,,,,,08.10.2002
374,KAB 1952,SERIES,,1mH,12,single,,,,,,Cont,AN,B,,20,,50,one,one,20,L-R,5,4,11 SWG Cu,S.E,3 SS,1.5,"Std bobbin suitable for Type 43, 2 1/2"" stack",56x69,88(89)x101(102),68,18,6 mil polyester film,-,-,-,-,-,-,-,Same conductor,-,2,"Type 43, 2 1/2""stack",-,-,51 CRGO,96,7.2,Std,,,,,50 DegreeC MAX,90 DegreeC MAX,,,,3,,,,IS 5553,205 200 335-4 Nos,,GA 105 009 379,18.06.2002
375,KAB 1951,SERIES,,3.5mH,25,single,,,,,,Cont,AN,B,,36,,50,one,one,36,L-R,9,4,11 SWG Cu,SE,2 SS,1.5,"Std bobbin suitable for Type 43, 2 1/2"" stack",56x69,88(89)x101(102),68,16,6 mil polyester film,-,-,-,-,-,-,-,Same conductor,-,4,"Type 43, 2 1/2""stack",-,-,51 CRGO,96,7.2,Std,,,,,50 DegreeC MAX,70 DegreeC MAX,,,,3,,,,IS 5553,205 200 335-4 Nos,,GA 105 009 379,11.06.2002
376,KAB 1950,D.C.FILTER,,2mH,31,single,,,,,,Cont,AN,B,,28,,100,one,one,28,L-R,7,4,7x3 Cu,F/G,one,2,"Std bobbin suitable for Type 43, 3 1/2"" stack",56x94,92(93)x130(131),68,18,6 mil polyester film,-,-,-,-,-,-,-,Same conductor,-,2,"Type 43, 3 1/2"" stack",-,-,41 CRGO,96,10.5,Std,,,,,50 DegreeC MAX,70 DegreeC MAX,,,,3,,,,IS 11171,205 200 335-4 Nos,,GA 105 009 377,17.06.2002
377,KAB 1949,MAIN,,,415,3 Ph  open Delta,,64,Rev. Open Delta,2.3,,Cont,AN,B,,256/23,1.62,50,"2 Py, 2 Sy","one, one","256, 23","L-R, L-R","64, 11 1/2","4, 2","17 SWG Cu, 7x3 Cu","SE, F/G","one, one","3.6, 4.3","ID:72x120, OD:78x126-125 long-F/G 2 Nos","79x127, 97x145","96x144, 114(118)x162(170)","111(125), 105(125)","8.5, 8.5","6 Mil polyester film, 6 Mil Polyester film",-,-,-,"7, 7",-,"Open Delta, Series at start",-,"Same conductor, Same conductor",18 mil class-'F' insulation,16,70x90,110,140,41 CRGO,96,49,DPD 105 102 223-P13,65 W,85 W,,,50 DegreeC MAX,70 DegreeC MAX,,,,3,3,,,IS 11171,Refer GA,Refer GA,GA 105 009 895 P2,15.06.2002
378,KAB 1948,R.F.I,,15?H,,single,,,,,,Cont,AN,H,,20,,50,one,one,20,L-R,11 in first layer & 9 in second layer,2,7x3 Cu,F/G,one,0.9,-,60,76,100,8.5,6 mil class 'H' insulation,-,-,,-,-,-,-,Same conductor with suitable Tag,-,-,AIR,-,-,-,-,-,-,,,,,50 DegreeC MAX,90 DegreeC MAX,,,,,,,,,,,,08.10.2002
379,KAB 1947,D.C.FILTER,,2mH,30,single,,,,,,Cont,AN,H,,40,,300,one,one,40,L-R,12,4,7x3 Cu,F/G ,one,2.5,"Std bobbin suitable for Type 8, 2 1/2""stack",56x69,94(95)x107(108),110,19,6 mil class 'H' insulation,-,-,-,-,-,-,-,Same conductor,-,12,"Type 8, 2 1/2 stack",-,-,51 CRGO,96,9.8,Std,,,,,50 DegreeC MAX,90 DegreeC MAX,,,,3,,,,IS 5553,205 200 326 4 Nos,225 603 337 1 No,GA 105 009 401,07.08.2002
380,KAB 1946,MAIN,,,415,3 Ph  Delta,,52,3 Ph  Star,2.2,DY 11,Cont,AN,H,,248/18,1.67,50,"3 Py, 3 Sy","one, one","248, 18","L-R, L-R","62, 9","4, 2","17 SWG Cu, 11 SWG Cu","SE, SE","one, 2 SS","5.3, 3.6","ID: 72x120, OD: 78x126-125 long-F/G 3 Nos","79x127, 100x148","99x147, 116(122)x164(170)","107(125), 68(125)","10, 8",6 mil thick class 'H' insulation?,-,-,-,"7, 7",-,"Delta, Star at Finish",-,"Same conductor, Same conductor",18 mil class 'H' insulation,18,70x90,140,140,41 CRGO,96,55,DPD 105 102 223-P18,75 W,90 W,,,50 DegreeC MAX,90 DegreeC MAX,,,,3,3,,,,,,GA 105 009 896 P7,05.08.2002
381, KAB 1945,D.C.FILTER,,0.5mH,30,single,,,,,,Cont,AN,H,,15+15=30,,300,2,one,15,L-R,one,15,0.2x305 Cu.foil,"Bare,Electrolytic, Annealed-IS 3052 & IS 1897",3 ab,28,ED 1590-P49-2 Nos,109x142,139(145)x172(195),325,15,6 mil thick class 'H' insulation,-,-,-,7,-,Series at Finish,-,150 mm² Cu.cable,-,20,100x105,165,340,41 CRGO,96,95,ED 2068-P5,,,,,50 DegreeC MAX,90 DegreeC MAX,,,,3,,,,IS 5553,,,GA 105 009 874 P6,03.08.2002
382,KAB 1944,MAIN,,,415,3 Ph  Delta,,52,3 Ph  Star,22,DY 11,Cont,AN,H,,138/10,3,50,"3 Py, 3 Sy","one, one","138, 10","L-R, L-R","34 1/2, one","4, 10","7x3 Cu, 0.2x305 Cu.foil","F/G class 'H', Bare Electrolytic,Annealed","one, 2 ab","48, 27",ED 1777-P13-3 Nos,"115x153, 174x212","153x191, 200(205)x238(265)","290(325), 325","19, 13",6 mil thick class 'H' insulation?,-,-,-,"5, 5",-,"Delta, Star at Finish",-,"Same conductor,150 mm² Cu.cable",10 thick F/G duct,20,100x110,225,335,41 CRGO,96,177,DPD 105 102 223-P16,225 W,750 W,,,50 DegreeC MAX,90 DegreeC MAX,,,,3,3,,,IS 11171,,,GA 105 009 896 P6,26.07.2002
383,KAB 1943,SERIES,,1.4mH,25,single,,,,,,Cont,AN,B,,32,,50,one,one,32,L-R,12,3,7x3 Cu,F/G,2 ab,4.6,"Std bobbin suitable for Type 8, 3""stack",86x81,108(110)x133(135),110,26,6 mil polyester fil,-,-,-,-,-,-,-,Same conductor,-,6,"Type 8,3"" stack",-,-,51 CRGO,96,11.7,Std,,,,,50 DegreeC MAX,90 DegreeC MAX,,,,3,,,,IS 5553,205 008 622-4 Nos,205 603 337-1 No,GA 105 009 403,18.05.2002
